City,LocalTime,Temperature_C,Wind_Speed_kph,Humidity,Condition
Van,2023-09-12 18:13,16.0,11.2,68,Moderate or heavy rain with thunder
Yalova,2023-09-12 18:13,25.0,29.9,39,Sunny
Yozgat,2023-09-12 18:13,15.4,15.8,52,Sunny
Zonguldak,2023-09-12 18:13,24.0,19.1,57,Partly cloudy
Adana,2023-09-13 18:12,32.0,22.0,30,Sunny
Adiyaman,2023-09-13 18:12,24.9,24.1,13,Sunny
Afyonkarahisar,2023-09-13 18:12,24.0,6.8,25,Sunny
Agri,2023-09-13 18:12,9.8,5.4,80,Sunny
Aksaray,2023-09-13 18:12,17.8,13.7,20,Sunny
Amasya,2023-09-13 18:12,22.0,28.1,43,Partly cloudy
Ankara,2023-09-13 18:12,24.0,13.0,18,Partly cloudy
Antalya,2023-09-13 18:12,32.0,25.9,30,Sunny
Ardahan,2023-09-13 18:12,7.7,9.4,82,Sunny
Artvin,2023-09-13 18:12,22.0,11.2,65,Partly cloudy
Aydin,2023-09-13 18:12,32.0,16.9,28,Sunny
Balikesir,2023-09-13 18:12,29.0,22.0,31,Sunny
Bartin,2023-09-13 18:12,26.0,20.2,37,Sunny
Batman,2023-09-13 18:12,28.0,3.6,37,Partly cloudy
Bayburt,2023-09-13 18:12,7.9,11.5,75,Sunny
Bilecik,2023-09-13 18:12,27.0,19.1,34,Sunny
Bingol,2023-09-13 18:12,17.2,12.6,25,Sunny
Bitlis,2023-09-13 18:12,23.0,9.0,36,Partly cloudy
Bolu,2023-09-13 18:12,18.3,5.0,61,Sunny
Burdur,2023-09-13 18:12,28.0,19.1,17,Sunny
Bursa,2023-09-13 18:12,27.0,19.1,34,Sunny
Canakkale,2023-09-13 18:12,29.0,22.0,33,Sunny
Cankiri,2023-09-13 18:12,16.8,4.7,31,Sunny
Corum,2023-09-13 18:12,16.4,20.5,53,Sunny
Denizli,2023-09-13 18:12,28.0,19.1,17,Sunny
Diyarbakir,2023-09-13 18:12,28.0,11.2,40,Partly cloudy
Duzce,2023-09-13 18:12,18.3,5.0,61,Sunny
Edirne,2023-09-13 18:12,27.0,8.3,28,Sunny
Elazig,2023-09-13 18:12,27.0,20.2,14,Partly cloudy
Erzincan,2023-09-13 18:12,24.0,16.9,22,Partly cloudy
Erzurum,2023-09-13 18:12,18.0,24.1,34,Partly cloudy
Eskisehir,2023-09-13 18:12,26.0,6.1,24,Sunny
Gaziantep,2023-09-13 18:12,30.0,19.1,12,Sunny
Giresun,2023-09-13 18:12,15.7,3.6,75,Sunny
Gumushane,2023-09-13 18:12,9.1,9.4,84,Sunny
Hakkari,2023-09-13 18:12,10.1,4.7,66,Sunny
Hatay,2023-09-13 18:12,25.1,8.6,25,Sunny
Igdir,2023-09-13 18:12,18.0,9.0,73,Partly cloudy
Isparta,2023-09-13 18:12,27.0,19.1,21,Sunny
Istanbul,2023-09-13 18:12,26.0,22.0,45,Sunny
Izmir,2023-09-13 18:12,30.0,24.1,29,Sunny
Kahramanmaras,2023-09-13 18:12,22.6,12.2,12,Sunny
Karabuk,2023-09-13 18:12,16.3,9.0,43,Sunny
Karaman,2023-09-13 18:12,17.2,19.4,20,Sunny
Kars,2023-09-13 18:12,14.0,19.1,55,Patchy light rain with thunder
Kastamonu,2023-09-13 18:12,15.1,9.4,52,Sunny
Kayseri,2023-09-13 18:12,22.0,3.6,25,Sunny
Kirikkale,2023-09-13 18:12,23.0,9.0,17,Partly cloudy
Kirklareli,2023-09-13 18:12,24.3,15.8,38,Sunny
Kirsehir,2023-09-13 18:12,23.0,16.9,17,Sunny
Kilis,2023-09-13 18:12,30.0,19.1,12,Sunny
Kocaeli,2023-09-13 18:12,27.0,15.1,48,Sunny
Konya,2023-09-13 18:12,23.0,24.1,17,Sunny
Kutahya,2023-09-13 18:12,19.7,15.8,27,Sunny
Malatya,2023-09-13 18:12,27.0,19.1,14,Sunny
Manisa,2023-09-13 18:12,30.0,24.1,29,Sunny
Mardin,2023-09-13 18:12,27.0,11.2,26,Sunny
Mersin,2023-09-13 18:12,27.4,17.6,44,Sunny
Mugla,2023-09-13 18:12,24.0,5.8,28,Sunny
Mus,2023-09-13 18:12,23.0,9.0,36,Partly cloudy
Nevsehir,2023-09-13 18:12,23.0,16.9,17,Sunny
Nigde,2023-09-13 18:12,13.1,12.6,25,Sunny
Ordu,2023-09-13 18:12,15.7,3.6,75,Sunny
Osmaniye,2023-09-13 18:12,24.6,5.0,23,Sunny
Rize,2023-09-13 18:12,17.2,11.2,78,Sunny
Sakarya,2023-09-13 18:12,27.0,15.1,48,Sunny
Samsun,2023-09-13 18:12,24.0,11.2,57,Partly cloudy
Siirt,2023-09-13 18:12,21.7,5.4,39,Sunny
Sinop,2023-09-13 18:12,21.4,13.7,55,Sunny
Sivas,2023-09-13 18:12,15.0,22.0,48,Partly cloudy
Sirnak,2023-09-13 18:12,25.8,14.4,28,Sunny
Tekirdag,2023-09-13 18:12,26.0,22.0,42,Sunny
Tokat,2023-09-13 18:12,13.2,10.1,70,Sunny
Trabzon,2023-09-13 18:13,23.0,22.0,61,Partly cloudy
Tunceli,2023-09-13 18:13,14.3,9.0,38,Sunny
